Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
apache/spark,,"Spark is a unified analytics engine for large-scale data processing. It provides high-level APIs in Scala, Java, Python, and R (Deprecated), and an optimized engine that supports general computation graphs for data analysis. It also supports a rich set of higher-level tools including Spark SQL for SQL and DataFrames, pandas API on Spark for pandas workloads, MLlib for machine learning, GraphX for graph processing, and Structured Streaming for stream processing.",,https://github.com/apache/spark,,29.1k,,43.1k,,#28419,,[MINOR][R] small tidying of sh scripts for R,,2020.4.30,,2020.5.1,,N/A,, c00fe5e,
spring-projects/spring-data-redis,,"The primary goal of the Spring Data project is to make it easier to build Spring-powered applications that use new data access technologies such as non-relational databases, map-reduce frameworks, and cloud based data services.

This module provides integration with the Redis store. It is also tested to work with Valkey on a best-effort basis as long as Valkey remains largely compatible with Redis.",,https://github.com/spring-projects/spring-data-redis,,1.2k,,1.9k,,#1844,,1.6.4 (Gosling SR4) Backported Issues,,2016.2.22,,2016.2.22,,N/A,,N/A,
alibaba/nacos,,"Nacos (official site: nacos.io) is an easy-to-use platform designed for dynamic service discovery and configuration and service management. It helps you to build cloud native applications and microservices platform easily.

Service is a first-class citizen in Nacos. Nacos supports almost all type of services，for example，Dubbo/gRPC service, Spring Cloud RESTFul service or Kubernetes service.

Nacos provides four major functions.

",,https://github.com/alibaba/nacos,,13.3K,,32.8K,,#5211,,"In the naocs2.0 cluster mode, there is an issue with unable to register",,2021.3.26,,2021.3.31,,2.1.0,,N/A,
dropwizard/dropwizard,,"Dropwizard is a sneaky way of making fast Java web applications.

",,https://github.com/dropwizard/dropwizard,,3.4k,,8.6k,,#3144,,"Bump maven-shade-plugin from 3.2.1 to 3.2.2
",,2020.2.13,,2020.2.13,,3.2.2,, 8978fc9,
prestodb/presto,,"Presto is a distributed SQL query engine for big data.

",,https://github.com/prestodb/presto,,5.5k,,16.7k,,#4521,,"Disable views tests for connectors that don't support them
",,2016.2.10,,2016.2.10,,N/A,,429cb1e,
elastic/elasticsearch,,"Elasticsearch is a distributed search and analytics engine, scalable data store and vector database optimized for speed and relevance on production-scale workloads. Elasticsearch is the foundation of Elastic’s open Stack platform. Search in near real-time over massive datasets, perform vector searches, integrate with generative AI applications, and much more.

",,https://github.com/elastic/elasticsearch,,25.8k,,76.4k,,#18136,,How do I use merge-on-refresh feature of lucene-8.7,,2021.2.20,,2022.8.30,,8.4.0,,N/A,
grpc/grpc-java,,gRPC-Java - An RPC library and framework,,https://github.com/grpc/grpc-java,,4k,,12k,,#4495,,Netty ObjectCleanerThread keeps high CPU,,2018.5.23,,2018.5.24,,4.1.25,,4388d90,
line/armeria,,"Armeria is your go-to microservice framework for any situation. You can build any type of microservice leveraging your favorite technologies, including gRPC, Thrift, Kotlin, Retrofit, Reactive Streams, Spring Boot and Dropwizard.",,https://github.com/line/armeria,,988,,5.1k,,#1522,,Support streaming response converter ,,2019.1.11,,2019.2.8,,1.10.6,,f880621,
line/armeria,,"Armeria is your go-to microservice framework for any situation. You can build any type of microservice leveraging your favorite technologies, including gRPC, Thrift, Kotlin, Retrofit, Reactive Streams, Spring Boot and Dropwizard.",,https://github.com/line/armeria,,988,,5.1k,,#3142,,Local NPM registery for CI build,,2020.10.28,,2021.1.4,,N/A,,e376385,
playframework/playframework,,"The Play Framework combines productivity and performance making it easy to build scalable web applications with Java and Scala. Play is developer friendly with a ""just hit refresh"" workflow and built-in testing support. With Play, applications scale predictably due to a stateless and non-blocking architecture. By being RESTful by default, including assets compilers, JSON & WebSocket support, Play is a perfect fit for modern web & mobile applications.",,https://github.com/playframework/playframework,,4k,,12.6k,,#6214,,"Clarify how to use evolutions with compile-time DI
",,2016.6.4,,2016.6.5,,2.5.4,,5390159,
playframework/playframework,,"The Play Framework combines productivity and performance making it easy to build scalable web applications with Java and Scala. Play is developer friendly with a ""just hit refresh"" workflow and built-in testing support. With Play, applications scale predictably due to a stateless and non-blocking architecture. By being RESTful by default, including assets compilers, JSON & WebSocket support, Play is a perfect fit for modern web & mobile applications.",,https://github.com/playframework/playframework,,4k,,12.6k,,#7412,,Remove unnecessary method declaration,,2017.6.4,,2017.6.5,,N/A,, d0328c6,
